id,cliente_id,endereco_id,data_pedido,status
91427,52981,1971,2024-09-25,pendente
91262,46093,559,2024-04-15,pendente
23330,94008,319,2024-06-25,cancelado
31999,70197,1863,2024-05-25,concluído
19014,42056,566,2024-05-27,cancelado
89800,84187,1819,2024-04-12,concluído
66606,70103,828,2024-03-26,pendente
85195,86837,1209,2024-10-13,concluído
54042,84845,1066,2024-03-31,cancelado
98698,27810,17,2024-05-02,cancelado
87036,62371,164,2024-09-26,concluído
12562,88848,191,2024-08-04,pendente
11266,43018,551,2024-10-07,cancelado
31750,70128,1417,2024-05-26,pendente
13360,52861,489,2024-07-26,concluído
46158,79291,1297,2024-01-03,concluído
19076,86804,1199,2024-10-10,pendente
1076,31154,1181,2024-01-06,cancelado
4189,17929,1320,2024-01-04,cancelado
13214,18401,1689,2024-03-07,pendente
96514,64081,58,2024-08-08,pendente
40937,16404,567,2024-07-16,cancelado
80438,23962,132,2024-07-02,concluído
40821,77882,373,2024-07-19,concluído
59676,19911,1901,2024-06-03,concluído
85654,90204,1822,2024-02-01,pendente
98651,85082,1151,2024-07-18,pendente
37214,73301,185,2024-02-14,concluído
6021,49937,1472,2024-06-01,pendente
32218,63067,661,2024-06-09,cancelado
19122,76903,1381,2024-04-19,concluído
94816,59555,756,2024-06-08,concluído
4045,60335,1658,2024-05-01,pendente
29370,3660,312,2024-07-30,pendente
84340,74907,1894,2024-04-12,pendente
25949,56148,593,2024-10-09,concluído
26430,99707,660,2024-07-19,cancelado
69091,79291,1296,2024-03-06,pendente
3769,64081,58,2024-09-25,cancelado
32295,71384,1050,2024-06-04,pendente
25549,93185,654,2024-07-27,pendente
24553,71057,1070,2024-03-31,pendente
79928,70432,393,2024-09-23,concluído
28949,18944,1620,2024-04-06,cancelado
56693,63773,31,2024-10-16,pendente
8610,39637,213,2024-04-28,pendente
32599,72613,926,2024-10-17,pendente
84419,34397,1159,2024-05-14,concluído
25266,34635,727,2024-07-06,pendente
65633,59555,756,2024-01-23,pendente
13852,81373,960,2024-06-13,pendente
99171,79514,372,2024-06-26,concluído
75940,45171,324,2024-04-08,pendente
90460,78826,306,2024-01-06,cancelado
12122,80628,1938,2024-01-30,cancelado
36391,11028,772,2024-03-29,pendente
65535,19699,783,2024-05-31,cancelado
31293,18573,1648,2024-09-28,pendente
29076,25214,1454,2024-05-13,pendente
92057,59825,1787,2024-09-28,concluído
30270,76564,596,2024-09-01,cancelado
91386,7493,46,2024-07-25,concluído
34246,27773,182,2024-03-02,cancelado
13415,42034,1078,2024-06-17,cancelado
59646,17257,1846,2024-01-02,pendente
97960,86279,1192,2024-05-31,cancelado
96612,73164,259,2024-09-07,cancelado
1661,91032,114,2024-05-26,cancelado
80444,25252,1881,2024-06-21,cancelado
40425,59232,1843,2024-03-19,concluído
60753,45280,1384,2024-06-24,concluído
53757,71224,110,2024-04-28,cancelado
29177,90637,1065,2024-05-02,pendente
76879,81954,197,2024-06-21,pendente
23219,44637,1281,2024-02-17,cancelado
72654,34577,1736,2024-04-19,cancelado
29472,86189,410,2024-07-31,concluído
30926,59045,451,2024-04-14,concluído
70966,21111,1046,2024-03-14,cancelado
19606,58523,425,2024-06-03,concluído
27824,60067,584,2024-01-12,pendente
93311,16404,568,2024-03-17,pendente
96083,67268,65,2024-05-10,cancelado
78390,94888,690,2024-03-18,cancelado
66372,18593,924,2024-09-07,concluído
22886,28894,1207,2024-08-21,concluído
7896,60434,1222,2024-06-23,pendente
31792,94416,1370,2024-07-02,pendente
78716,11162,581,2024-03-16,concluído
95002,52467,172,2024-08-29,cancelado
62043,47599,1450,2024-01-01,pendente
13995,48401,912,2024-09-21,concluído
88952,96282,927,2024-10-17,pendente
28484,34397,1161,2024-06-04,pendente
38348,19092,385,2024-08-13,cancelado
17869,19999,1585,2024-07-28,concluído
54756,45733,1764,2024-06-21,concluído
83275,47366,843,2024-09-18,pendente
73936,65842,315,2024-04-13,concluído
8782,96950,1007,2024-09-09,cancelado
71003,78522,62,2024-02-10,pendente
59315,16404,569,2024-03-20,cancelado
1844,68570,1108,2024-04-15,concluído
9926,57583,1922,2024-08-14,cancelado
83121,34020,256,2024-06-28,cancelado
76071,60495,1084,2024-05-12,cancelado
16938,97849,1279,2024-01-25,pendente
14566,70103,829,2024-05-23,pendente
78519,85675,230,2024-01-11,pendente
26780,82474,401,2024-03-12,cancelado
18735,65325,930,2024-08-13,pendente
39963,66888,1656,2024-09-21,cancelado
67852,87676,1092,2024-06-07,pendente
91301,51551,368,2024-09-01,pendente
35990,13948,1128,2024-02-06,concluído
67745,6904,1829,2024-07-28,pendente
15559,53066,198,2024-04-23,cancelado
40258,99695,818,2024-06-17,pendente
66106,31621,1604,2024-06-04,cancelado
9998,67828,928,2024-08-16,pendente
73407,14121,136,2024-05-19,cancelado
7133,22052,1193,2024-07-23,pendente
49579,20173,1665,2024-09-05,cancelado
59242,63163,147,2024-06-19,pendente
14248,62846,494,2024-04-10,cancelado
29153,69234,1741,2024-09-26,cancelado
21987,60495,1083,2024-09-11,cancelado
50975,61908,962,2024-01-13,cancelado
67403,75297,792,2024-01-23,pendente
86905,57583,1922,2024-02-09,cancelado
81111,73301,185,2024-02-20,cancelado
48371,65142,1499,2024-08-25,pendente
16565,93205,510,2024-01-24,pendente
58631,39429,1031,2024-09-04,concluído
474,32595,1784,2024-07-12,pendente
5431,23966,849,2024-10-15,cancelado
42929,18401,1689,2024-03-31,cancelado
78735,32794,140,2024-05-20,pendente
11200,4803,600,2024-04-05,concluído
30222,43018,551,2024-08-07,pendente
10546,71384,1052,2024-09-08,concluído
70009,6158,1027,2024-10-12,cancelado
36304,31302,863,2024-02-26,pendente
55428,93766,1344,2024-03-30,cancelado
93541,71057,1070,2024-09-29,pendente
59664,5165,439,2024-09-24,concluído
17531,44962,377,2024-09-24,cancelado
54022,83131,558,2024-07-02,concluído
54548,31924,982,2024-07-22,cancelado
47073,72613,926,2024-07-27,cancelado
76728,44978,69,2024-04-12,cancelado
78925,89859,1671,2024-02-27,concluído
97819,36217,305,2024-10-05,pendente
81164,80244,407,2024-02-08,cancelado
2051,64629,1400,2024-07-13,pendente
60314,84131,119,2024-03-17,cancelado
6271,47366,843,2024-03-01,pendente
6883,82580,1062,2024-01-09,cancelado
87121,60535,34,2024-03-10,cancelado
1253,50103,258,2024-09-13,concluído
26804,69977,1213,2024-03-29,cancelado
39145,86804,1199,2024-07-05,cancelado
26374,25214,1454,2024-09-24,cancelado
2478,30798,1683,2024-09-29,pendente
96730,20545,1833,2024-09-05,concluído
34022,63262,1515,2024-10-14,concluído
874,49653,722,2024-03-19,pendente
56221,82677,67,2024-08-03,concluído
24809,6904,1830,2024-01-18,concluído
78962,43073,233,2024-04-24,concluído
59579,71195,429,2024-03-27,pendente
49339,42379,1644,2024-06-14,pendente
33317,16404,567,2024-04-08,cancelado
78900,47307,677,2024-08-14,cancelado
71896,75297,792,2024-09-04,cancelado
21814,1776,495,2024-02-13,pendente
45351,98634,391,2024-07-17,concluído
63946,39890,1124,2024-01-24,pendente
49952,80645,971,2024-02-03,cancelado
58067,10806,379,2024-05-27,pendente
68109,68327,1455,2024-06-05,concluído
21183,65108,963,2024-05-25,cancelado
17795,89635,708,2024-06-19,pendente
74180,99241,991,2024-06-04,pendente
49365,97849,1279,2024-02-26,cancelado
63925,70103,829,2024-02-07,concluído
99958,31924,981,2024-06-24,concluído
54159,92640,1527,2024-01-29,concluído
49586,27429,1481,2024-02-10,concluído
84713,21051,500,2024-10-04,cancelado
19725,2938,644,2024-01-30,concluído
40813,51664,1135,2024-04-25,cancelado
54155,20951,358,2024-08-18,pendente
641,75517,812,2024-07-23,concluído
58820,29871,91,2024-06-15,cancelado
31685,67828,929,2024-03-30,pendente
88601,62371,163,2024-03-13,pendente
55280,38197,1596,2024-06-15,pendente
83711,64571,1285,2024-07-03,concluído
40135,66616,1911,2024-01-29,concluído
97457,6927,713,2024-09-15,cancelado
92150,28251,1380,2024-07-31,concluído
53767,60434,1224,2024-03-18,pendente
5459,63983,1738,2024-04-01,concluído
59763,74435,1749,2024-04-03,cancelado
24641,91451,1630,2024-03-02,pendente
19604,13716,888,2024-02-08,cancelado
25267,81934,977,2024-08-03,pendente
50649,1632,1410,2024-10-11,concluído
11326,44962,377,2024-06-09,concluído
50098,69102,1511,2024-06-05,concluído
6380,89635,707,2024-05-13,concluído
52545,11162,582,2024-02-08,concluído
59960,87855,1405,2024-03-21,concluído
61178,98502,915,2024-04-09,cancelado
64462,97639,1246,2024-01-28,cancelado
91002,68479,454,2024-10-13,cancelado
26529,14121,136,2024-04-03,cancelado
9166,4633,1551,2024-04-06,pendente
39897,23966,849,2024-01-15,concluído
22042,31154,1181,2024-01-18,cancelado
97238,31924,981,2024-06-02,pendente
33335,18944,1620,2024-08-29,cancelado
17937,26818,415,2024-05-06,concluído
5152,48725,1899,2024-03-25,cancelado
14160,18385,295,2024-03-17,pendente
44778,85033,1860,2024-10-10,pendente
96550,83465,1105,2024-02-05,pendente
67771,65091,903,2024-04-12,concluído
78895,71195,429,2024-09-11,pendente
47560,96963,423,2024-04-16,concluído
16400,10890,1317,2024-05-05,cancelado
71457,64571,1286,2024-09-09,concluído
90137,42379,1644,2024-09-05,concluído
15298,46674,129,2024-09-25,concluído
14602,91372,103,2024-03-17,cancelado
52341,26856,1674,2024-08-30,concluído
46991,90314,81,2024-09-02,cancelado
96247,22755,524,2024-08-06,cancelado
83096,40182,1119,2024-05-05,cancelado
76625,68479,453,2024-10-02,concluído
32208,88393,1486,2024-01-02,concluído
7116,89859,1670,2024-01-09,pendente
74446,82431,544,2024-03-19,pendente
38842,4167,218,2024-05-23,pendente
88105,26869,1487,2024-08-19,cancelado
61430,77501,1642,2024-06-04,cancelado
9511,76906,1053,2024-02-13,pendente
82916,24602,1785,2024-09-22,concluído
68629,53428,168,2024-05-11,pendente
65972,11264,1465,2024-03-25,pendente
30663,45476,1133,2024-08-05,concluído
54627,90037,1383,2024-07-20,pendente
38554,19656,204,2024-04-16,pendente
36460,46788,96,2024-08-28,cancelado
69571,4633,1549,2024-07-08,pendente
25751,10294,1004,2024-07-25,pendente
46455,41072,326,2024-05-08,cancelado
10678,39319,366,2024-01-18,pendente
20664,64966,1858,2024-05-12,concluído
54493,95328,86,2024-09-14,pendente
65663,4160,1702,2024-04-04,cancelado
45122,69468,830,2024-08-01,cancelado
71103,66550,1475,2024-03-12,concluído
73873,85923,146,2024-05-14,concluído
38938,78321,308,2024-02-20,concluído
47208,66550,1475,2024-10-08,cancelado
54180,40167,601,2024-02-02,pendente
39208,18385,295,2024-09-11,pendente
70374,48380,1890,2024-01-15,pendente
93574,75342,684,2024-05-16,concluído
82186,25214,1454,2024-07-12,cancelado
7341,72017,340,2024-02-03,cancelado
90324,42379,1643,2024-03-23,concluído
70382,69965,461,2024-02-26,concluído
5500,5474,1270,2024-02-02,cancelado
65949,64081,58,2024-09-15,pendente
3907,27979,344,2024-09-24,pendente
75527,91683,944,2024-02-06,pendente
24901,9051,1805,2024-04-03,concluído
44045,86808,18,2024-05-05,pendente
13215,59040,1757,2024-06-11,cancelado
35672,56198,77,2024-01-15,concluído
79742,64642,1425,2024-04-24,cancelado
29817,8631,1442,2024-06-17,pendente
53280,93871,1530,2024-01-07,cancelado
41232,54862,674,2024-06-05,cancelado
72641,1079,1180,2024-09-26,pendente
10568,1193,1340,2024-08-17,pendente
7785,5474,1270,2024-09-06,concluído
74237,61988,821,2024-01-10,concluído
46036,38624,336,2024-02-19,cancelado
13820,24602,1786,2024-09-29,pendente
92525,78826,306,2024-07-12,cancelado
20837,47869,673,2024-01-07,pendente
72459,51186,687,2024-10-06,cancelado
84363,11028,772,2024-04-20,pendente
75171,91385,56,2024-08-18,pendente
10199,49038,1943,2024-06-02,pendente
58234,45280,1384,2024-07-13,pendente
18012,64019,1932,2024-06-26,concluído
72387,51406,1077,2024-01-15,cancelado
97995,68327,1455,2024-02-10,cancelado
58607,1507,619,2024-07-14,cancelado
15195,42056,565,2024-05-05,pendente
16205,44869,1414,2024-03-27,pendente
21181,98768,969,2024-02-21,pendente
75672,14070,127,2024-06-16,cancelado
94001,63784,632,2024-05-22,cancelado
88687,65988,474,2024-07-01,cancelado
84533,46983,978,2024-09-15,concluído
83274,19445,750,2024-06-25,concluído
12870,73009,574,2024-08-26,concluído
81446,82469,1825,2024-07-27,pendente
70640,1632,1410,2024-04-09,pendente
77325,39637,214,2024-09-09,cancelado
14524,28480,166,2024-09-16,pendente
36344,43720,157,2024-02-12,concluído
51141,13687,802,2024-05-13,cancelado
29861,67388,1485,2024-02-09,pendente
37294,35217,705,2024-01-24,cancelado
43129,68311,1172,2024-03-07,concluído
20751,74640,1396,2024-09-19,cancelado
47830,28894,1207,2024-06-19,pendente
91684,31639,360,2024-08-16,pendente
94409,65325,930,2024-01-05,pendente
29049,65260,630,2024-08-06,pendente
67947,28068,947,2024-05-13,concluído
89552,15810,560,2024-09-01,pendente
95631,20173,1665,2024-09-23,cancelado
46996,44212,827,2024-06-17,concluído
74067,10093,246,2024-01-26,pendente
10511,4513,1290,2024-07-10,pendente
12631,29378,813,2024-03-27,cancelado
49355,62846,493,2024-01-21,cancelado
47304,51845,854,2024-02-12,cancelado
66514,27662,877,2024-03-11,cancelado
96074,1546,450,2024-05-24,pendente
66833,73164,260,2024-01-01,pendente
29069,27348,1955,2024-07-27,cancelado
26082,93185,653,2024-07-06,cancelado
23095,59728,1163,2024-01-21,cancelado
88651,88749,1048,2024-01-02,concluído
41169,8698,1117,2024-03-22,concluído
94818,65988,473,2024-05-17,cancelado
71315,78522,63,2024-03-02,pendente
63661,80331,210,2024-10-10,cancelado
2195,85033,1860,2024-03-27,pendente
83794,89755,472,2024-03-20,cancelado
88928,62846,493,2024-06-06,concluído
33184,66117,1338,2024-08-21,cancelado
73871,25252,1881,2024-08-09,pendente
47598,76903,1381,2024-05-03,cancelado
35418,22318,1390,2024-07-28,cancelado
52987,71935,797,2024-04-25,pendente
93326,10771,1584,2024-02-14,pendente
38339,8824,35,2024-04-23,cancelado
34639,48380,1889,2024-02-02,pendente
38304,82431,545,2024-08-26,cancelado
95060,82580,1062,2024-02-14,cancelado
21382,11162,582,2024-09-23,cancelado
44445,34363,299,2024-10-01,pendente
29682,30976,666,2024-10-10,pendente
36035,63773,31,2024-08-17,pendente
53376,90,1294,2024-06-20,pendente
1002,64839,240,2024-02-19,cancelado
764,28772,1282,2024-08-26,concluído
66599,16315,1067,2024-07-06,concluído
81548,71032,817,2024-04-03,pendente
66541,32135,396,2024-07-11,cancelado
21585,61624,1480,2024-02-22,cancelado
17197,8824,35,2024-08-17,pendente
4475,77501,1642,2024-08-06,pendente
44355,84845,1066,2024-01-30,concluído
36369,31586,1541,2024-05-11,cancelado
78008,13408,94,2024-05-12,concluído
21437,51360,1058,2024-07-21,concluído
84745,86189,408,2024-01-28,concluído
25625,42460,112,2024-10-10,concluído
91297,81666,1158,2024-08-20,pendente
47466,92959,288,2024-04-17,pendente
94081,11542,1168,2024-01-12,cancelado
4088,48669,791,2024-06-18,cancelado
12333,31924,981,2024-04-04,cancelado
26675,91369,11,2024-10-10,pendente
19484,28263,857,2024-01-09,pendente
26918,26074,989,2024-06-16,concluído
33651,30942,301,2024-03-10,pendente
7920,22052,1193,2024-02-10,concluído
66901,1776,495,2024-07-21,cancelado
3823,12654,45,2024-05-29,pendente
7160,46983,978,2024-07-02,concluído
97066,76921,1473,2024-04-24,concluído
3422,46822,158,2024-05-04,concluído
14425,96129,443,2024-05-11,pendente
84616,73403,1483,2024-01-25,cancelado
39684,80616,686,2024-06-01,pendente
75336,69468,830,2024-03-11,cancelado
29962,53795,1892,2024-06-02,concluído
45831,60535,34,2024-07-03,cancelado
66842,91385,56,2024-03-01,pendente
1540,95328,86,2024-04-27,cancelado
41677,5407,1234,2024-10-09,pendente
24695,87676,1092,2024-06-11,cancelado
68846,71605,106,2024-07-22,concluído
81069,38222,355,2024-02-11,pendente
98813,83754,548,2024-01-05,pendente
53903,34289,477,2024-05-06,pendente
58420,34363,298,2024-10-01,cancelado
29511,58626,998,2024-01-07,cancelado
53875,37288,1037,2024-08-29,cancelado
72480,44869,1414,2024-05-30,concluído
5501,84312,1174,2024-10-10,cancelado
11024,76843,223,2024-08-18,pendente
67072,92851,1910,2024-05-01,pendente
87018,67268,65,2024-02-19,concluído
6210,70543,911,2024-01-02,cancelado
71287,65409,939,2024-02-27,concluído
63517,4435,861,2024-09-08,concluído
2470,71224,110,2024-06-06,cancelado
30500,80187,1914,2024-07-15,pendente
59967,99025,53,2024-06-29,pendente
23496,12143,123,2024-08-05,pendente
70341,81666,1158,2024-08-15,concluído
24364,91209,1056,2024-07-12,cancelado
13578,72037,1528,2024-10-09,concluído
425,63781,1238,2024-03-23,concluído
84827,70103,829,2024-09-25,cancelado
20623,22553,504,2024-06-13,cancelado
9531,25252,1879,2024-09-07,cancelado
66777,95339,1616,2024-05-03,cancelado
20037,59892,292,2024-07-18,pendente
47512,63784,632,2024-05-31,cancelado
50661,98502,915,2024-04-05,cancelado
63856,71992,952,2024-05-12,pendente
95249,95315,1540,2024-05-11,cancelado
85774,80312,525,2024-08-03,cancelado
71064,52467,172,2024-03-07,cancelado
7214,22318,1389,2024-03-02,cancelado
8489,81918,1423,2024-05-22,concluído
54045,43701,1919,2024-09-22,cancelado
62759,48401,912,2024-06-27,pendente
77332,86808,18,2024-07-25,pendente
91145,53066,198,2024-08-28,cancelado
15662,59045,451,2024-08-25,pendente
91692,48992,491,2024-10-06,cancelado
51195,87861,1925,2024-02-08,concluído
70228,90519,965,2024-04-24,concluído
16213,78328,1314,2024-07-25,pendente
74704,25391,121,2024-08-08,pendente
84552,63443,1275,2024-03-07,concluído
51464,39340,1884,2024-01-30,pendente
38827,74643,1304,2024-02-23,concluído
43555,36343,1430,2024-09-01,pendente
33929,26934,1329,2024-02-21,cancelado
82971,51986,536,2024-06-26,pendente
43235,12806,212,2024-03-25,cancelado
47231,23183,1226,2024-01-16,pendente
82403,95934,1803,2024-05-09,cancelado
41048,96950,1008,2024-03-19,pendente
77697,63732,539,2024-10-02,pendente
19062,93587,966,2024-02-15,concluído
6022,37704,1869,2024-10-01,cancelado
96694,8930,438,2024-08-28,concluído
50167,23905,1566,2024-06-15,concluído
85623,63781,1240,2024-08-16,concluído
14551,2428,591,2024-08-10,cancelado
83186,73301,185,2024-05-23,concluído
39140,90637,1064,2024-04-12,pendente
57650,1546,448,2024-05-30,pendente
52106,38222,355,2024-01-25,pendente
24247,17257,1846,2024-04-18,cancelado
45121,12813,1565,2024-03-30,pendente
56891,27085,1904,2024-09-24,cancelado
95332,62123,1886,2024-04-10,cancelado
10596,23622,1254,2024-07-13,pendente
59912,81170,1440,2024-05-02,concluído
36495,325,282,2024-04-26,cancelado
92665,74718,588,2024-06-06,cancelado
86121,44637,1281,2024-06-11,concluído
16045,41759,1047,2024-05-29,cancelado
80978,83164,43,2024-03-01,concluído
98640,68327,1455,2024-04-23,concluído
19776,57182,1034,2024-01-29,pendente
62153,3869,1187,2024-08-31,pendente
48595,40555,471,2024-01-11,concluído
52557,26599,531,2024-07-16,concluído
31155,88388,320,2024-08-08,pendente
78528,77130,1432,2024-09-25,cancelado
68895,9935,1601,2024-09-07,pendente
38901,86808,18,2024-07-20,cancelado
18282,78107,440,2024-01-08,concluído
62011,12455,1844,2024-06-06,concluído
15805,64081,58,2024-06-22,pendente
58824,9873,25,2024-06-12,cancelado
38087,32280,1964,2024-05-20,cancelado
14585,28068,945,2024-07-03,concluído
94871,22553,504,2024-04-08,cancelado
11819,89635,707,2024-09-14,cancelado
7641,27348,1955,2024-06-29,concluído
39576,98634,391,2024-05-05,concluído
19599,9442,649,2024-01-16,concluído
50022,92391,521,2024-06-23,concluído
17545,55460,226,2024-08-17,concluído
62138,91385,56,2024-10-03,concluído
61517,27686,484,2024-06-15,pendente
23510,40182,1120,2024-05-17,pendente
14948,25789,1253,2024-10-07,pendente
58494,15810,560,2024-08-10,cancelado
16530,34715,1813,2024-06-17,concluído
78786,34020,256,2024-08-05,concluído
70230,16032,810,2024-08-25,concluído
34594,19092,385,2024-01-14,concluído
23885,71102,886,2024-03-24,concluído
10293,26343,1183,2024-10-07,concluído
24376,69977,1214,2024-09-29,concluído
85132,89900,460,2024-06-13,pendente
74805,20613,1845,2024-04-10,pendente
34879,93041,533,2024-06-24,concluído
47722,46093,559,2024-01-31,cancelado
3392,93587,966,2024-05-23,cancelado
28099,30976,666,2024-07-26,pendente
96600,41072,326,2024-03-19,pendente
54096,93525,20,2024-03-26,concluído
18942,44293,882,2024-04-27,pendente
85974,13408,93,2024-08-14,concluído
82220,22056,1446,2024-02-06,cancelado
99543,99125,1877,2024-07-30,concluído
14643,21691,846,2024-04-26,pendente
61982,28057,718,2024-04-15,concluído
74185,47129,1618,2024-01-25,concluído
40225,83131,558,2024-08-10,cancelado
92460,89859,1671,2024-03-13,concluído
71201,61988,820,2024-03-30,concluído
66887,97849,1279,2024-05-31,concluído
28848,15983,728,2024-04-17,concluído
47218,16292,88,2024-01-20,cancelado
35895,75963,356,2024-09-17,pendente
10778,4513,1290,2024-04-16,concluído
1845,78281,773,2024-09-23,concluído
49125,82316,519,2024-04-05,cancelado
29946,47684,1421,2024-06-12,cancelado
69077,99404,30,2024-08-17,concluído
4592,51043,740,2024-07-17,pendente
91035,56675,1606,2024-04-05,concluído
34007,80262,1251,2024-04-09,cancelado
43946,86804,1198,2024-06-22,pendente
68239,97957,1951,2024-01-03,concluído
89304,35796,57,2024-09-29,cancelado
33465,20773,1097,2024-04-01,concluído
87460,34715,1813,2024-10-12,pendente
33284,67944,790,2024-09-07,pendente
47403,28480,165,2024-09-12,pendente
48006,51075,537,2024-10-14,concluído
38973,92391,521,2024-08-28,concluído
56378,45611,1283,2024-08-11,pendente
12931,70128,1417,2024-10-15,pendente
96364,54102,986,2024-01-13,pendente
34899,69084,1328,2024-09-15,pendente
37705,88388,320,2024-02-16,cancelado
95299,24602,1785,2024-02-15,pendente
47616,4289,1165,2024-06-14,pendente
84715,4025,1669,2024-08-25,pendente
17284,66616,1911,2024-02-14,cancelado
52731,4513,1291,2024-03-10,concluído
24817,80331,211,2024-07-05,pendente
12871,1193,1340,2024-09-12,concluído
31178,58113,1930,2024-09-25,concluído
49414,81373,960,2024-03-04,cancelado
45825,75294,1578,2024-09-23,pendente
48640,32634,777,2024-10-07,pendente
52065,80045,652,2024-03-13,concluído
98861,37242,703,2024-08-11,cancelado
13482,76499,1256,2024-08-08,pendente
81991,58834,1590,2024-05-03,pendente
43214,64839,241,2024-05-24,concluído
32330,10806,379,2024-09-18,concluído
78738,27504,1146,2024-10-17,pendente
7784,51986,536,2024-05-23,concluído
20508,21646,1431,2024-08-24,pendente
95420,28772,1282,2024-01-15,pendente
70075,41759,1047,2024-06-14,concluído
2922,84277,1891,2024-05-13,concluído
43643,23525,1167,2024-01-04,pendente
15987,21051,501,2024-09-26,cancelado
72706,8698,1116,2024-06-16,pendente
90010,6452,1788,2024-03-25,cancelado
73898,43261,190,2024-07-10,cancelado
31701,26917,371,2024-01-04,pendente
51153,8277,1548,2024-01-11,concluído
97123,59766,1385,2024-04-12,pendente
50727,76777,208,2024-06-14,cancelado
32803,3660,312,2024-07-12,concluído
83355,81399,1398,2024-05-09,pendente
35650,42034,1078,2024-03-03,cancelado
62213,55889,1599,2024-02-20,pendente
7119,37288,1038,2024-05-02,cancelado
35952,16356,75,2024-03-05,concluído
92930,59040,1757,2024-10-15,concluído
68091,73089,825,2024-01-16,cancelado
60441,31625,1216,2024-09-02,pendente
92972,51360,1057,2024-07-08,cancelado
75943,43701,1919,2024-07-16,pendente
20115,45898,638,2024-02-21,pendente
57749,53979,1917,2024-03-16,pendente
68766,44264,284,2024-03-21,pendente
90483,20997,1518,2024-04-04,concluído
54602,83754,548,2024-07-27,cancelado
7066,98302,1811,2024-06-07,pendente
84471,81873,402,2024-04-18,pendente
15358,46682,126,2024-03-03,cancelado
96153,63429,742,2024-08-30,cancelado
92443,47994,670,2024-10-04,concluído
56786,65987,1249,2024-08-27,concluído
90414,35867,1958,2024-05-15,concluído
85653,82474,401,2024-02-09,pendente
91124,6158,1027,2024-05-16,concluído
12858,15386,1723,2024-06-08,cancelado
19465,4374,263,2024-04-10,concluído
79071,10140,1211,2024-08-27,pendente
2171,78857,1456,2024-03-08,pendente
16723,29378,813,2024-01-17,cancelado
73646,8028,232,2024-06-28,concluído
66577,70580,704,2024-01-06,cancelado
