pedido_id,produto_id,quantidade,preco_unitario,subtotal
90112,76804,1,399.41,399.41
90112,79647,4,280.81,1123.24
90112,58406,5,244.17,1220.85
86565,63096,3,173.89,521.67
31258,88222,5,780.87,3904.35
31258,20368,2,758.95,1517.9
31258,35404,5,806.95,4034.75
31258,68299,4,144.06,576.24
42574,85288,4,375.14,1500.56
12415,77329,3,412.52,1237.56
12415,32334,4,229.31,917.24
2572,143,1,494.61,494.61
2572,85451,4,541.78,2167.12
2572,41550,3,91.44,274.32
8490,62637,4,337.15,1348.6
19026,36765,4,504.57,2018.28
19026,74408,1,109.93,109.93
19026,87920,1,744.62,744.62
19026,19771,1,832.78,832.78
50853,38614,4,241.1,964.4
50853,25971,5,549.46,2747.3
50853,27681,3,890.78,2672.34
80860,50909,5,850.29,4251.45
62785,39924,4,759.07,3036.28
62785,97535,4,106.17,424.68
88705,7450,3,404.86,1214.58
88705,85451,4,541.78,2167.12
88705,76804,5,399.41,1997.05
88705,34973,5,834.31,4171.55
71919,53960,3,739.12,2217.36
71919,38191,4,514.95,2059.8
71919,8622,1,211.17,211.17
55030,7569,5,957.55,4787.75
55030,88564,2,348.6,697.2
55030,85693,5,520.9,2604.5
55030,37536,5,591.7,2958.5
52427,98237,2,435.8,871.6
52427,19771,3,832.78,2498.34
52427,75569,4,827.48,3309.92
52427,32891,4,654.47,2617.88
20024,84409,4,378.97,1515.88
20024,57374,5,698.48,3492.4
20024,31082,5,128.67,643.35
66335,20529,2,79.52,159.04
66335,31337,5,289.52,1447.6
25325,90274,3,89.2,267.6
25325,73289,5,688.66,3443.3
25325,9463,3,737.23,2211.69
57812,39359,2,388.91,777.82
57812,48005,4,555.96,2223.84
57812,58149,1,941.45,941.45
57812,43497,2,635.49,1270.98
59885,37373,2,340.97,681.94
59885,21130,5,306.91,1534.55
38981,21172,1,81.48,81.48
38981,72643,4,802.32,3209.28
38981,35117,4,362.24,1448.96
38981,30899,5,414.35,2071.75
15946,27681,5,890.78,4453.9
15946,98767,5,175.6,878.0
15946,61277,3,580.35,1741.05
15946,59221,5,610.81,3054.05
15946,39250,2,299.64,599.28
52209,27026,4,903.98,3615.92
3082,41254,1,973.41,973.41
3082,80684,5,254.74,1273.7
16038,58116,3,286.26,858.78
16038,36761,3,266.59,799.77
16038,93062,4,14.81,59.24
29872,86487,2,857.42,1714.84
29872,68325,1,736.88,736.88
29872,82259,4,287.53,1150.12
29872,47824,5,84.53,422.65
40273,47790,1,180.89,180.89
40273,75074,2,568.91,1137.82
40273,3343,2,910.79,1821.58
83089,16514,4,557.34,2229.36
83089,93468,5,860.81,4304.05
83089,80684,2,254.74,509.48
49989,89031,1,328.11,328.11
49989,63100,1,324.64,324.64
49989,34247,5,206.69,1033.45
8974,96136,2,68.32,136.64
70488,62196,1,598.61,598.61
21857,18665,5,607.21,3036.05
21857,19800,4,235.18,940.72
15136,9991,1,705.6,705.6
30147,81532,5,771.02,3855.1
30147,21172,4,81.48,325.92
30147,33949,3,427.63,1282.89
41656,72224,5,199.44,997.2
41656,53348,3,417.82,1253.46
40342,56470,1,354.15,354.15
40342,68183,1,579.31,579.31
99617,46067,2,993.13,1986.26
99617,12577,2,121.23,242.46
9245,77935,5,908.29,4541.45
9245,58406,1,244.17,244.17
18459,34973,4,834.31,3337.24
18459,19680,3,44.96,134.88
18459,19405,2,642.21,1284.42
18459,70889,5,389.31,1946.55
18459,27194,1,66.59,66.59
29429,75074,5,568.91,2844.55
29429,8188,1,904.75,904.75
29429,46654,1,803.46,803.46
36139,19598,1,804.42,804.42
36139,49423,2,167.62,335.24
36139,46067,5,993.13,4965.65
36139,27026,1,903.98,903.98
36139,79037,1,608.37,608.37
49151,97620,1,617.77,617.77
43935,36324,4,543.42,2173.68
43935,46010,5,614.47,3072.35
43935,2976,3,24.6,73.8
43823,14870,3,488.33,1464.99
43823,96714,3,743.96,2231.88
43823,56470,5,354.15,1770.75
43823,81532,2,771.02,1542.04
95842,49663,1,160.33,160.33
95842,48214,5,11.35,56.75
34161,47563,1,852.95,852.95
34161,12545,3,129.6,388.8
34161,18248,2,69.35,138.7
39596,11011,3,624.91,1874.73
39596,29884,5,813.4,4067.0
39596,36661,1,329.51,329.51
39596,94997,2,137.6,275.2
39596,88272,2,367.77,735.54
64042,75569,5,827.48,4137.4
64042,12102,4,760.84,3043.36
88738,83215,1,34.14,34.14
88738,87920,3,744.62,2233.86
73439,19695,2,27.26,54.52
73439,64156,4,413.18,1652.72
73439,79860,3,834.1,2502.3
73439,5375,3,374.97,1124.91
73439,96027,5,10.91,54.55
87316,2387,5,218.44,1092.2
87316,17107,3,287.58,862.74
87316,58149,1,941.45,941.45
42483,57390,1,432.24,432.24
42483,6780,4,186.41,745.64
42483,75074,4,568.91,2275.64
42483,86218,1,189.9,189.9
90482,86092,4,303.14,1212.56
90482,84409,5,378.97,1894.85
90482,8015,3,939.58,2818.74
14858,47563,1,852.95,852.95
14858,98926,5,692.7,3463.5
14858,31427,2,971.62,1943.24
26362,14028,2,442.53,885.06
37037,53827,4,253.77,1015.08
37037,10465,1,322.38,322.38
45450,29135,3,428.74,1286.22
45450,88768,4,414.44,1657.76
45450,7526,4,37.8,151.2
45450,78360,2,990.89,1981.78
45450,87394,5,701.27,3506.35
70991,886,3,134.83,404.49
70991,83215,3,34.14,102.42
70991,65039,4,666.43,2665.72
70991,93468,1,860.81,860.81
46246,91790,1,161.46,161.46
46246,44419,5,293.78,1468.9
59731,79860,5,834.1,4170.5
59731,81532,3,771.02,2313.06
59731,7569,4,957.55,3830.2
93189,74276,2,403.16,806.32
93189,32334,1,229.31,229.31
93189,34973,5,834.31,4171.55
93189,77935,5,908.29,4541.45
93189,98926,5,692.7,3463.5
91427,63922,2,105.97,211.94
91262,32334,5,229.31,1146.55
91262,4130,3,547.23,1641.69
91262,12102,5,760.84,3804.2
23330,96109,2,699.04,1398.08
23330,21914,1,232.47,232.47
31999,38191,1,514.95,514.95
31999,31509,1,467.17,467.17
31999,63922,2,105.97,211.94
31999,53537,3,227.15,681.45
19014,98767,3,175.6,526.8
19014,25982,5,991.26,4956.3
19014,69180,5,417.38,2086.9
19014,143,2,494.61,989.22
89800,88318,2,70.04,140.08
89800,78488,1,990.12,990.12
89800,14705,1,542.54,542.54
89800,11279,4,112.63,450.52
66606,32963,4,560.47,2241.88
66606,8188,3,904.75,2714.25
85195,83215,2,34.14,68.28
85195,18402,1,171.43,171.43
85195,30838,5,328.21,1641.05
54042,59982,1,106.65,106.65
54042,13613,2,77.15,154.3
54042,97926,2,248.48,496.96
98698,85451,3,541.78,1625.34
98698,97258,5,815.87,4079.35
98698,72312,4,716.61,2866.44
87036,84052,5,464.3,2321.5
87036,36535,1,18.44,18.44
87036,88222,2,780.87,1561.74
87036,50909,4,850.29,3401.16
12562,49402,5,270.37,1351.85
12562,46903,1,423.07,423.07
12562,1015,5,711.55,3557.75
12562,47925,1,229.67,229.67
12562,95075,5,73.29,366.45
11266,10855,5,543.47,2717.35
11266,18248,3,69.35,208.05
11266,38183,5,715.12,3575.6
11266,88397,5,319.17,1595.85
31750,72605,3,708.93,2126.79
13360,48005,5,555.96,2779.8
13360,78548,1,304.16,304.16
13360,74980,2,768.86,1537.72
13360,47925,1,229.67,229.67
46158,34558,1,813.41,813.41
46158,63822,3,51.13,153.39
46158,78488,2,990.12,1980.24
46158,87394,5,701.27,3506.35
46158,94900,1,258.65,258.65
19076,87394,1,701.27,701.27
19076,886,5,134.83,674.15
19076,6844,3,336.33,1008.99
19076,84052,4,464.3,1857.2
19076,17720,5,347.92,1739.6
1076,97258,2,815.87,1631.74
1076,75985,4,315.18,1260.72
1076,24755,2,734.13,1468.26
1076,89031,5,328.11,1640.55
4189,29620,1,152.02,152.02
4189,98926,1,692.7,692.7
4189,73442,2,417.12,834.24
13214,44756,5,693.81,3469.05
13214,39955,4,83.25,333.0
13214,86379,1,761.11,761.11
96514,14706,5,357.22,1786.1
96514,87446,1,144.86,144.86
96514,63922,3,105.97,317.91
96514,51696,5,597.43,2987.15
40937,86827,2,219.55,439.1
80438,98239,5,859.16,4295.8
80438,36329,3,310.29,930.87
40821,76566,2,522.32,1044.64
40821,17681,5,77.44,387.2
59676,70709,3,659.51,1978.53
59676,74408,3,109.93,329.79
59676,16979,3,61.89,185.67
59676,38301,5,583.57,2917.85
85654,7569,4,957.55,3830.2
85654,93062,5,14.81,74.05
85654,6780,4,186.41,745.64
98651,21710,3,78.14,234.42
98651,35553,2,547.98,1095.96
98651,70370,3,101.51,304.53
98651,49423,4,167.62,670.48
98651,54298,1,610.36,610.36
37214,27194,4,66.59,266.36
37214,57374,4,698.48,2793.92
6021,60134,3,711.35,2134.05
6021,36936,3,722.15,2166.45
6021,25982,4,991.26,3965.04
6021,82422,1,648.23,648.23
6021,88318,4,70.04,280.16
32218,80010,1,456.07,456.07
32218,15756,1,74.45,74.45
32218,37884,3,286.83,860.49
32218,923,5,407.11,2035.55
19122,32891,1,654.47,654.47
19122,93368,5,907.46,4537.3
19122,75775,1,577.35,577.35
19122,89597,1,18.34,18.34
94816,27711,2,311.19,622.38
94816,57270,1,73.99,73.99
4045,91790,5,161.46,807.3
4045,76801,2,18.08,36.16
4045,55974,1,111.19,111.19
4045,41254,4,973.41,3893.64
4045,46067,1,993.13,993.13
29370,70370,3,101.51,304.53
29370,72153,4,420.11,1680.44
29370,80404,5,287.75,1438.75
29370,68299,5,144.06,720.3
29370,92284,1,315.59,315.59
84340,81280,5,852.86,4264.3
84340,85693,5,520.9,2604.5
84340,48924,2,595.65,1191.3
84340,24755,2,734.13,1468.26
84340,92016,2,120.57,241.14
25949,33146,2,436.94,873.88
25949,9463,2,737.23,1474.46
26430,89808,2,970.56,1941.12
69091,48654,2,747.14,1494.28
69091,93062,4,14.81,59.24
69091,38301,5,583.57,2917.85
69091,34558,1,813.41,813.41
69091,66135,3,803.8,2411.4
3769,14706,5,357.22,1786.1
3769,50909,4,850.29,3401.16
32295,29288,2,466.59,933.18
32295,23093,2,359.33,718.66
25549,39855,4,754.31,3017.24
25549,22138,3,952.75,2858.25
25549,65039,1,666.43,666.43
24553,39493,4,171.68,686.72
79928,10855,4,543.47,2173.88
79928,94155,2,697.17,1394.34
79928,78264,1,100.57,100.57
79928,90274,3,89.2,267.6
79928,81102,1,285.3,285.3
28949,39955,2,83.25,166.5
28949,2387,3,218.44,655.32
28949,12102,3,760.84,2282.52
28949,37373,4,340.97,1363.88
28949,97258,1,815.87,815.87
56693,96136,4,68.32,273.28
8610,97162,2,180.6,361.2
8610,24859,2,359.61,719.22
8610,79647,5,280.81,1404.05
8610,88194,4,309.2,1236.8
32599,64875,2,405.58,811.16
32599,85526,5,680.79,3403.95
84419,25393,1,669.18,669.18
84419,49660,3,699.66,2098.98
84419,62063,1,828.14,828.14
84419,10931,2,331.83,663.66
84419,923,1,407.11,407.11
25266,91654,5,995.29,4976.45
25266,27681,3,890.78,2672.34
25266,97535,5,106.17,530.85
25266,72312,2,716.61,1433.22
65633,5375,2,374.97,749.94
13852,72224,1,199.44,199.44
13852,92709,2,333.15,666.3
13852,38229,5,830.19,4150.95
13852,57204,2,132.68,265.36
13852,73086,4,521.84,2087.36
99171,78600,1,633.71,633.71
99171,21799,5,905.86,4529.3
99171,58116,3,286.26,858.78
75940,55197,2,450.21,900.42
75940,14977,4,881.75,3527.0
90460,23093,2,359.33,718.66
90460,83307,3,285.5,856.5
90460,93223,5,525.66,2628.3
90460,52601,1,468.45,468.45
12122,10387,1,577.51,577.51
12122,39250,2,299.64,599.28
36391,53752,1,357.86,357.86
36391,48091,1,814.21,814.21
65535,95974,1,501.27,501.27
65535,41117,3,581.23,1743.69
65535,32368,3,696.3,2088.9
65535,39187,5,727.93,3639.65
65535,49402,3,270.37,811.11
31293,28584,3,476.48,1429.44
31293,76804,5,399.41,1997.05
31293,46654,2,803.46,1606.92
31293,9951,1,310.82,310.82
31293,57390,2,432.24,864.48
29076,25971,1,549.46,549.46
29076,64828,3,29.34,88.02
29076,77329,2,412.52,825.04
29076,15556,2,148.38,296.76
92057,60976,3,52.35,157.05
92057,83043,2,741.88,1483.76
92057,73442,3,417.12,1251.36
30270,87446,2,144.86,289.72
30270,3171,3,609.79,1829.37
30270,88397,5,319.17,1595.85
91386,8001,4,448.16,1792.64
91386,84559,5,986.23,4931.15
91386,4130,3,547.23,1641.69
34246,58326,5,303.83,1519.15
34246,73289,5,688.66,3443.3
34246,37884,5,286.83,1434.15
34246,60074,4,417.56,1670.24
13415,88006,4,729.44,2917.76
59646,38574,5,792.98,3964.9
59646,25971,2,549.46,1098.92
59646,86379,2,761.11,1522.22
59646,84409,3,378.97,1136.91
59646,56109,1,234.76,234.76
97960,76801,2,18.08,36.16
97960,56655,1,481.21,481.21
97960,56541,2,332.5,665.0
97960,96952,4,903.77,3615.08
96612,38301,1,583.57,583.57
96612,4260,4,538.77,2155.08
1661,73879,4,800.35,3201.4
1661,17175,2,127.79,255.58
1661,22138,5,952.75,4763.75
1661,20368,5,758.95,3794.75
80444,53827,5,253.77,1268.85
80444,8622,2,211.17,422.34
40425,18665,3,607.21,1821.63
40425,63459,5,872.18,4360.9
40425,43806,1,864.54,864.54
40425,41117,4,581.23,2324.92
40425,65039,5,666.43,3332.15
60753,35404,3,806.95,2420.85
60753,98239,4,859.16,3436.64
60753,96714,1,743.96,743.96
60753,76804,3,399.41,1198.23
53757,60473,4,790.74,3162.96
53757,14706,3,357.22,1071.66
29177,58149,1,941.45,941.45
29177,19598,1,804.42,804.42
76879,97405,2,361.79,723.58
23219,58980,3,936.24,2808.72
23219,75775,1,577.35,577.35
72654,19598,2,804.42,1608.84
29472,9808,3,897.18,2691.54
29472,20368,3,758.95,2276.85
29472,55925,2,769.59,1539.18
29472,36765,4,504.57,2018.28
30926,27026,3,903.98,2711.94
70966,88194,3,309.2,927.6
70966,22840,5,558.61,2793.05
70966,16810,2,893.19,1786.38
19606,5292,5,534.6,2673.0
19606,10646,1,516.45,516.45
19606,56655,1,481.21,481.21
19606,25003,5,611.87,3059.35
27824,50611,5,95.8,479.0
27824,25738,3,908.65,2725.95
27824,37536,1,591.7,591.7
27824,78264,1,100.57,100.57
93311,54298,1,610.36,610.36
93311,62637,1,337.15,337.15
93311,75074,4,568.91,2275.64
93311,44752,4,785.85,3143.4
93311,29884,1,813.4,813.4
96083,77329,5,412.52,2062.6
96083,21799,2,905.86,1811.72
96083,86122,1,306.3,306.3
96083,17681,2,77.44,154.88
78390,60473,2,790.74,1581.48
78390,72605,5,708.93,3544.65
78390,73289,3,688.66,2065.98
78390,56470,3,354.15,1062.45
66372,16514,3,557.34,1672.02
66372,17175,3,127.79,383.37
22886,42705,5,581.53,2907.65
7896,73442,2,417.12,834.24
7896,63918,2,486.52,973.04
31792,36936,4,722.15,2888.6
31792,32963,4,560.47,2241.88
31792,17720,1,347.92,347.92
31792,14028,1,442.53,442.53
31792,143,2,494.61,989.22
78716,32963,4,560.47,2241.88
95002,78548,5,304.16,1520.8
95002,12015,5,844.78,4223.9
95002,46126,2,85.71,171.42
62043,27434,4,548.75,2195.0
62043,73086,2,521.84,1043.68
62043,55638,4,884.31,3537.24
62043,81280,4,852.86,3411.44
13995,6889,5,822.92,4114.6
88952,31082,2,128.67,257.34
28484,64828,2,29.34,58.68
38348,97397,5,846.39,4231.95
17869,64591,3,779.3,2337.9
17869,39493,1,171.68,171.68
17869,63822,1,51.13,51.13
54756,15346,1,484.34,484.34
83275,57091,3,220.06,660.18
83275,10248,3,317.45,952.35
73936,84052,1,464.3,464.3
73936,72605,1,708.93,708.93
73936,25764,4,412.82,1651.28
8782,44752,4,785.85,3143.4
8782,923,4,407.11,1628.44
71003,82259,1,287.53,287.53
71003,53752,4,357.86,1431.44
71003,20529,2,79.52,159.04
71003,1015,3,711.55,2134.65
71003,87305,5,43.43,217.15
59315,16635,3,737.93,2213.79
59315,29620,5,152.02,760.1
59315,27434,4,548.75,2195.0
59315,38183,2,715.12,1430.24
59315,51681,1,404.05,404.05
1844,97405,1,361.79,361.79
1844,89597,4,18.34,73.36
9926,37536,5,591.7,2958.5
9926,73767,1,373.16,373.16
9926,49328,2,802.81,1605.62
83121,58326,1,303.83,303.83
76071,12015,5,844.78,4223.9
16938,8015,3,939.58,2818.74
16938,39250,3,299.64,898.92
16938,52441,2,582.44,1164.88
16938,86347,4,502.98,2011.92
16938,17976,1,347.47,347.47
14566,15856,3,118.14,354.42
14566,36936,3,722.15,2166.45
14566,27776,5,66.73,333.65
78519,25454,5,166.07,830.35
78519,89029,3,397.16,1191.48
78519,70370,4,101.51,406.04
26780,80404,5,287.75,1438.75
26780,57091,5,220.06,1100.3
26780,44752,5,785.85,3929.25
26780,85526,2,680.79,1361.58
18735,95075,4,73.29,293.16
18735,33949,4,427.63,1710.52
18735,89095,5,738.87,3694.35
18735,69180,1,417.38,417.38
39963,89029,1,397.16,397.16
39963,71260,2,964.16,1928.32
39963,18249,5,389.53,1947.65
39963,6844,5,336.33,1681.65
67852,58617,4,148.53,594.12
67852,32963,5,560.47,2802.35
67852,49423,4,167.62,670.48
91301,53842,3,425.03,1275.09
91301,5375,3,374.97,1124.91
35990,95974,1,501.27,501.27
35990,44756,2,693.81,1387.62
67745,84365,5,72.96,364.8
67745,78360,5,990.89,4954.45
67745,8186,3,536.32,1608.96
15559,65060,5,422.61,2113.05
15559,73202,4,102.69,410.76
15559,35659,2,338.18,676.36
40258,20368,3,758.95,2276.85
40258,21130,4,306.91,1227.64
40258,47047,1,185.96,185.96
40258,36661,2,329.51,659.02
40258,97397,2,846.39,1692.78
66106,55925,5,769.59,3847.95
66106,5279,4,992.85,3971.4
9998,96223,3,172.22,516.66
9998,34247,5,206.69,1033.45
9998,63459,4,872.18,3488.72
9998,96767,5,881.11,4405.55
9998,63096,2,173.89,347.78
73407,36605,4,478.08,1912.32
73407,21130,4,306.91,1227.64
7133,52304,2,111.97,223.94
7133,79037,1,608.37,608.37
7133,63304,5,736.14,3680.7
7133,5282,4,991.59,3966.36
7133,6116,4,697.48,2789.92
49579,96130,2,850.61,1701.22
49579,19771,4,832.78,3331.12
59242,78600,5,633.71,3168.55
59242,83215,3,34.14,102.42
59242,30838,1,328.21,328.21
14248,80601,3,626.37,1879.11
29153,16635,3,737.93,2213.79
29153,36605,2,478.08,956.16
29153,5375,4,374.97,1499.88
29153,79860,3,834.1,2502.3
21987,46112,1,739.99,739.99
21987,39955,5,83.25,416.25
21987,6844,5,336.33,1681.65
50975,76801,5,18.08,90.4
67403,24755,3,734.13,2202.39
67403,78406,5,936.84,4684.2
67403,28584,1,476.48,476.48
67403,40989,5,160.98,804.9
67403,73879,4,800.35,3201.4
86905,78488,5,990.12,4950.6
86905,63944,5,648.75,3243.75
86905,8188,5,904.75,4523.75
86905,75775,1,577.35,577.35
81111,50909,1,850.29,850.29
81111,69952,3,949.26,2847.78
81111,44677,1,827.19,827.19
81111,51696,2,597.43,1194.86
81111,77935,1,908.29,908.29
48371,18665,3,607.21,1821.63
48371,36605,2,478.08,956.16
48371,78548,5,304.16,1520.8
48371,15346,4,484.34,1937.36
16565,62637,5,337.15,1685.75
16565,53537,1,227.15,227.15
16565,9463,3,737.23,2211.69
58631,76566,5,522.32,2611.6
58631,35971,1,176.01,176.01
58631,91654,3,995.29,2985.87
58631,12015,2,844.78,1689.56
474,48654,2,747.14,1494.28
474,64881,1,231.06,231.06
5431,63100,4,324.64,1298.56
5431,43806,2,864.54,1729.08
42929,38574,4,792.98,3171.92
42929,5292,1,534.6,534.6
42929,41550,5,91.44,457.2
78735,56109,2,234.76,469.52
78735,22300,2,49.28,98.56
78735,89808,2,970.56,1941.12
78735,93421,5,81.09,405.45
11200,55031,4,943.11,3772.44
11200,98237,2,435.8,871.6
11200,55638,2,884.31,1768.62
11200,14977,3,881.75,2645.25
11200,35404,3,806.95,2420.85
30222,36535,4,18.44,73.76
30222,78488,5,990.12,4950.6
30222,92016,4,120.57,482.28
30222,8186,3,536.32,1608.96
30222,10931,1,331.83,331.83
10546,53842,5,425.03,2125.15
70009,87394,5,701.27,3506.35
70009,73442,1,417.12,417.12
70009,44677,1,827.19,827.19
36304,92284,5,315.59,1577.95
36304,96952,3,903.77,2711.31
36304,90156,4,799.48,3197.92
55428,37406,3,943.33,2829.99
55428,76804,2,399.41,798.82
55428,73523,4,353.57,1414.28
93541,28552,3,353.45,1060.35
59664,30588,5,615.87,3079.35
59664,85526,5,680.79,3403.95
59664,11279,3,112.63,337.89
59664,57658,3,930.65,2791.95
59664,63096,4,173.89,695.56
17531,86379,3,761.11,2283.33
17531,76738,3,909.51,2728.53
17531,59221,5,610.81,3054.05
17531,3171,5,609.79,3048.95
17531,17724,3,143.58,430.74
54022,55638,3,884.31,2652.93
54022,44677,2,827.19,1654.38
54022,34973,2,834.31,1668.62
54022,40659,3,580.0,1740.0
54022,67227,2,56.04,112.08
54548,40659,1,580.0,580.0
54548,98926,1,692.7,692.7
54548,16533,1,521.17,521.17
54548,87718,4,11.01,44.04
47073,78600,1,633.71,633.71
47073,63602,2,38.39,76.78
47073,8186,4,536.32,2145.28
47073,17678,2,722.47,1444.94
76728,21799,2,905.86,1811.72
76728,73442,1,417.12,417.12
78925,10931,4,331.83,1327.32
78925,86218,3,189.9,569.7
97819,63459,5,872.18,4360.9
97819,63619,2,384.48,768.96
81164,6844,4,336.33,1345.32
81164,19695,1,27.26,27.26
81164,74408,3,109.93,329.79
81164,38191,1,514.95,514.95
81164,58326,2,303.83,607.66
2051,63272,1,244.02,244.02
2051,18249,2,389.53,779.06
2051,69180,4,417.38,1669.52
2051,90274,4,89.2,356.8
2051,10465,2,322.38,644.76
60314,1015,1,711.55,711.55
6271,92709,1,333.15,333.15
6271,5282,2,991.59,1983.18
6883,53827,1,253.77,253.77
6883,93062,1,14.81,14.81
6883,35971,5,176.01,880.05
6883,29135,4,428.74,1714.96
6883,35553,4,547.98,2191.92
87121,31082,1,128.67,128.67
87121,29620,4,152.02,608.08
87121,57390,3,432.24,1296.72
87121,16514,1,557.34,557.34
87121,19653,1,790.65,790.65
1253,6791,1,462.66,462.66
1253,21172,3,81.48,244.44
1253,7616,1,268.62,268.62
1253,80010,2,456.07,912.14
1253,32368,1,696.3,696.3
26804,15856,2,118.14,236.28
26804,63217,3,988.08,2964.24
26804,87394,2,701.27,1402.54
39145,94086,3,533.31,1599.93
39145,23093,3,359.33,1077.99
39145,10932,3,283.24,849.72
39145,14706,1,357.22,357.22
26374,12484,5,266.22,1331.1
26374,53403,2,872.54,1745.08
2478,92284,2,315.59,631.18
2478,29288,1,466.59,466.59
2478,39496,4,741.36,2965.44
2478,96223,2,172.22,344.44
96730,56655,4,481.21,1924.84
96730,33949,1,427.63,427.63
34022,84365,3,72.96,218.88
34022,36324,3,543.42,1630.26
34022,55974,5,111.19,555.95
34022,98767,5,175.6,878.0
34022,2387,5,218.44,1092.2
874,28552,2,353.45,706.9
874,27434,4,548.75,2195.0
56221,30670,3,25.13,75.39
56221,31082,1,128.67,128.67
56221,68325,4,736.88,2947.52
56221,19405,1,642.21,642.21
24809,28552,2,353.45,706.9
78962,39955,4,83.25,333.0
78962,63272,1,244.02,244.02
78962,41524,4,288.96,1155.84
78962,75985,3,315.18,945.54
59579,25764,2,412.82,825.64
59579,36605,4,478.08,1912.32
49339,86375,5,632.95,3164.75
49339,39493,4,171.68,686.72
49339,92075,1,84.56,84.56
33317,92709,3,333.15,999.45
33317,69952,4,949.26,3797.04
33317,85526,4,680.79,2723.16
33317,56470,4,354.15,1416.6
78900,6116,1,697.48,697.48
78900,23348,3,160.67,482.01
78900,84052,3,464.3,1392.9
78900,8188,1,904.75,904.75
71896,39359,2,388.91,777.82
21814,143,2,494.61,989.22
45351,46126,1,85.71,85.71
45351,39250,3,299.64,898.92
45351,9123,5,185.82,929.1
63946,63217,5,988.08,4940.4
63946,31082,3,128.67,386.01
63946,83215,1,34.14,34.14
63946,14977,4,881.75,3527.0
63946,30670,4,25.13,100.52
49952,41254,3,973.41,2920.23
49952,10855,1,543.47,543.47
49952,76804,3,399.41,1198.23
49952,64591,3,779.3,2337.9
58067,75959,4,943.83,3775.32
58067,74481,3,889.26,2667.78
58067,63619,2,384.48,768.96
58067,47173,5,478.12,2390.6
58067,10931,2,331.83,663.66
68109,65028,5,677.62,3388.1
68109,86379,4,761.11,3044.44
68109,63922,5,105.97,529.85
68109,64875,5,405.58,2027.9
21183,36327,1,57.88,57.88
21183,31337,3,289.52,868.56
21183,21710,4,78.14,312.56
17795,63272,1,244.02,244.02
74180,32963,4,560.47,2241.88
74180,29135,4,428.74,1714.96
74180,63619,4,384.48,1537.92
74180,97585,2,895.85,1791.7
74180,97397,2,846.39,1692.78
49365,10847,5,527.46,2637.3
49365,57270,5,73.99,369.95
49365,63619,3,384.48,1153.44
63925,74980,4,768.86,3075.44
63925,41117,5,581.23,2906.15
63925,4260,1,538.77,538.77
63925,25003,4,611.87,2447.48
99958,9951,4,310.82,1243.28
54159,93468,4,860.81,3443.24
54159,74481,4,889.26,3557.04
54159,85526,4,680.79,2723.16
49586,81929,1,542.12,542.12
49586,66489,1,670.84,670.84
84713,56655,4,481.21,1924.84
84713,16655,1,782.45,782.45
19725,80404,5,287.75,1438.75
40813,33124,1,710.84,710.84
40813,67227,1,56.04,56.04
54155,56541,3,332.5,997.5
54155,80010,4,456.07,1824.28
54155,14279,4,132.89,531.56
54155,97194,4,718.62,2874.48
641,66135,2,803.8,1607.6
58820,39924,5,759.07,3795.35
31685,64156,4,413.18,1652.72
31685,37406,3,943.33,2829.99
31685,19680,1,44.96,44.96
88601,58458,3,659.65,1978.95
88601,73289,4,688.66,2754.64
