cliente_id,produto_id,quantidade,data_adicionado
26074,3343,5,2024-03-05
41928,19771,5,2024-09-16
38536,43610,5,2024-04-06
66022,88222,2,2024-02-24
90185,46067,2,2024-07-28
48224,22300,3,2024-06-20
28151,69507,1,2024-07-01
99084,31082,3,2024-07-25
21143,52528,5,2024-03-08
39637,10646,5,2024-09-28
4448,84409,5,2024-01-27
8698,54178,2,2024-08-13
96644,9951,1,2024-03-19
23962,87784,3,2024-09-21
64176,14870,2,2024-09-30
81005,79860,4,2024-04-03
64019,36324,5,2024-09-14
216,86122,3,2024-09-19
91939,58980,4,2024-02-06
91357,97620,2,2024-01-07
65192,72312,1,2024-09-26
55568,75775,5,2024-04-29
86612,46112,3,2024-05-04
29287,89095,3,2024-02-16
94888,22300,3,2024-06-05
68557,52601,5,2024-08-15
53814,75569,4,2024-06-18
92103,78600,1,2024-09-20
57952,65039,2,2024-02-07
6158,25454,2,2024-09-24
1154,19771,2,2024-08-13
82474,46112,1,2024-03-15
96129,39955,3,2024-09-01
39637,28584,2,2024-04-25
28089,21914,5,2024-09-13
81873,28552,4,2024-07-13
76903,47563,1,2024-05-02
91032,25764,4,2024-09-06
9051,68325,1,2024-01-04
40469,10387,1,2024-03-10
68311,34973,1,2024-04-08
81873,97405,1,2024-01-27
11017,2387,4,2024-03-08
7910,23093,4,2024-09-30
65091,17678,5,2024-01-27
26522,43982,3,2024-07-18
37288,12015,5,2024-07-28
26856,96767,1,2024-06-19
2938,86347,1,2024-02-28
26074,1703,4,2024-08-04
88617,84365,3,2024-05-08
56106,55638,1,2024-01-13
19167,46903,2,2024-09-05
75297,19695,4,2024-08-10
11152,12545,3,2024-03-13
50186,12102,3,2024-08-12
70864,58326,1,2024-06-28
94888,93368,3,2024-04-30
70858,19695,5,2024-06-12
34384,97177,5,2024-06-30
69084,78360,4,2024-01-08
15692,38183,4,2024-07-28
82431,93223,2,2024-10-07
96476,14028,5,2024-07-28
41072,47563,4,2024-03-13
28772,56541,2,2024-03-28
51115,72643,2,2024-06-10
63614,2976,2,2024-07-28
55250,52640,4,2024-04-11
11017,97397,5,2024-04-11
39138,52601,1,2024-04-07
95664,58406,3,2024-06-26
11421,88318,5,2024-02-03
17929,90763,5,2024-08-06
91640,18665,1,2024-08-24
3306,56109,4,2024-04-24
39613,81532,3,2024-03-08
48224,17107,5,2024-03-06
59041,19695,3,2024-03-28
47596,41254,4,2024-03-12
44978,33124,4,2024-05-29
23966,78387,2,2024-02-16
250,52441,2,2024-06-09
48183,53827,2,2024-02-19
70128,54298,5,2024-08-10
53814,63304,1,2024-08-25
40787,31579,1,2024-02-01
69468,84052,1,2024-07-01
92309,2387,4,2024-05-11
10294,39731,2,2024-02-08
26680,92403,1,2024-05-31
8824,3343,2,2024-02-09
93633,86375,4,2024-01-07
53428,34973,2,2024-06-24
70543,76434,2,2024-08-22
8028,39493,3,2024-06-27
27429,17681,2,2024-01-16
11400,19653,5,2024-02-15
69869,85526,5,2024-07-09
86612,63272,4,2024-02-14
34397,7450,2,2024-08-25
68805,65028,3,2024-06-25
34384,33949,5,2024-01-15
51043,25393,2,2024-10-12
71531,27681,2,2024-06-05
56681,94997,1,2024-06-13
37857,25003,2,2024-09-18
66746,33949,5,2024-06-24
26856,36605,1,2024-05-24
45898,98237,3,2024-09-20
56675,84559,1,2024-05-04
59766,26169,1,2024-04-23
50833,54298,1,2024-05-26
28811,35553,4,2024-03-23
48725,91654,2,2024-07-03
48789,89029,1,2024-07-07
77130,25971,4,2024-02-05
87553,56541,2,2024-07-06
62371,52601,4,2024-08-23
44928,14870,5,2024-02-20
94673,87718,5,2024-06-03
86974,64591,5,2024-01-17
17022,44677,4,2024-02-13
23905,58149,1,2024-02-22
26418,16514,3,2024-10-04
11162,63918,3,2024-09-19
8631,37364,2,2024-03-18
37828,28552,5,2024-10-01
39741,92075,2,2024-03-05
11704,18665,1,2024-01-27
40555,37884,5,2024-02-11
51551,4260,2,2024-06-16
3869,63304,5,2024-04-15
70689,6791,3,2024-06-08
30942,20174,3,2024-04-17
35932,16979,2,2024-07-02
58310,47173,1,2024-04-20
63781,886,2,2024-09-07
61278,41524,4,2024-09-22
20951,63217,1,2024-07-08
27979,75569,2,2024-09-14
61618,93223,2,2024-05-03
61113,8622,2,2024-03-30
50186,80010,5,2024-06-25
11698,98522,4,2024-06-16
90204,44756,2,2024-05-07
90037,65938,1,2024-04-04
60495,94155,3,2024-01-14
48183,76804,3,2024-09-22
39340,48214,3,2024-02-29
53329,48214,1,2024-06-16
34577,32368,4,2024-09-08
27570,86347,3,2024-01-29
8698,98767,2,2024-08-09
52861,96767,1,2024-02-01
6709,26117,5,2024-05-27
3660,73442,1,2024-02-25
71102,48986,2,2024-01-31
43073,16514,3,2024-09-08
99084,80684,1,2024-08-31
78921,27434,2,2024-07-01
3245,57091,2,2024-02-12
96511,25002,4,2024-07-19
28263,17681,3,2024-04-19
67828,8015,4,2024-06-29
77241,5375,2,2024-09-17
47573,89808,4,2024-04-17
83754,36661,1,2024-05-14
50744,37884,2,2024-01-04
90519,35417,2,2024-07-06
29378,92403,1,2024-07-21
40376,50611,1,2024-05-10
59965,57270,4,2024-10-10
50833,80010,2,2024-08-24
38536,63918,3,2024-02-10
77130,6780,2,2024-05-30
39473,97405,3,2024-07-25
46983,47047,4,2024-03-19
62045,66135,3,2024-07-06
50874,7526,2,2024-10-11
10217,79037,4,2024-02-02
49038,93223,3,2024-03-10
45829,35971,5,2024-02-06
34199,66489,3,2024-07-26
67520,43497,5,2024-05-06
94673,91654,5,2024-07-12
96476,48214,1,2024-04-11
4167,2976,4,2024-01-01
68311,62063,3,2024-04-27
57182,31672,2,2024-02-14
97247,57091,3,2024-07-25
66746,36936,3,2024-05-08
72613,97585,4,2024-06-16
78921,31672,5,2024-08-05
36217,78406,3,2024-08-23
40901,69180,1,2024-01-01
74435,9303,5,2024-09-18
38536,72312,3,2024-08-30
55889,12102,2,2024-07-19
16399,96223,1,2024-10-09
49653,37364,4,2024-01-02
60559,73238,5,2024-05-15
51986,27776,1,2024-04-27
88393,27194,5,2024-10-05
76564,11011,1,2024-06-05
34895,6791,1,2024-08-06
33342,92226,3,2024-08-10
63022,7551,5,2024-09-04
64839,38301,1,2024-07-03
4633,31337,1,2024-03-12
78107,12015,1,2024-06-20
14545,69180,4,2024-05-23
15795,31672,3,2024-09-22
58626,40659,2,2024-05-14
43720,22840,5,2024-03-11
32465,73086,4,2024-03-22
65987,33146,4,2024-06-10
60201,34247,5,2024-06-30
73734,85526,5,2024-03-14
3155,86375,2,2024-08-09
39429,40989,3,2024-04-04
12919,9991,4,2024-09-30
59766,96223,5,2024-07-05
36772,5279,1,2024-06-04
39353,26503,2,2024-10-17
69243,29135,4,2024-08-12
56532,88318,3,2024-06-15
73164,24186,3,2024-06-07
91209,64156,2,2024-08-03
77118,25454,2,2024-03-10
67388,24186,3,2024-04-12
15983,64881,3,2024-08-17
59555,8622,4,2024-04-30
71539,14977,1,2024-05-20
64642,15756,2,2024-09-22
20545,77329,2,2024-07-13
26818,93062,5,2024-08-18
33000,62063,2,2024-05-30
3546,63602,5,2024-04-28
40555,32963,3,2024-02-22
88388,6791,3,2024-09-19
39473,6889,5,2024-02-13
89859,63304,3,2024-06-12
32733,76470,3,2024-09-03
46663,15346,5,2024-04-27
45733,63619,5,2024-09-23
71560,72153,4,2024-08-15
26074,12545,4,2024-06-17
60559,79647,4,2024-03-11
71384,15346,2,2024-03-19
74590,55638,5,2024-03-28
81170,22138,1,2024-06-01
83598,39250,3,2024-03-26
27504,43610,3,2024-03-21
92103,16655,2,2024-04-01
89900,12102,4,2024-01-09
93587,1703,5,2024-08-09
50186,57658,5,2024-03-12
45898,63944,3,2024-03-30
22056,39855,3,2024-08-01
45587,38857,1,2024-06-15
74813,43497,4,2024-10-17
8698,39955,1,2024-01-11
48401,92284,3,2024-01-02
71314,37373,2,2024-04-23
51986,35404,5,2024-07-24
74590,73767,4,2024-05-08
63614,47047,2,2024-02-28
26448,64875,5,2024-01-03
11017,88331,5,2024-01-12
43701,96027,2,2024-06-12
71735,94997,4,2024-09-25
95023,56197,1,2024-08-03
44637,72224,4,2024-05-27
39319,69846,5,2024-06-24
99170,86092,1,2024-07-16
79339,15346,4,2024-02-19
16399,16810,3,2024-04-29
34363,48654,4,2024-03-12
21759,53960,2,2024-09-21
83164,47047,5,2024-02-04
81954,3171,2,2024-02-21
21691,60976,5,2024-08-07
43956,62274,3,2024-07-04
54206,71714,3,2024-08-01
74813,33949,2,2024-03-23
63052,14279,3,2024-04-12
48725,4130,3,2024-07-09
41759,25982,3,2024-09-25
90782,4052,3,2024-05-18
57583,17724,3,2024-06-17
82954,97585,3,2024-07-16
27185,73238,2,2024-04-11
85923,71399,2,2024-01-14
93766,75569,3,2024-07-03
14350,25982,1,2024-10-13
63784,66489,4,2024-01-03
92809,79860,4,2024-01-06
43720,16533,2,2024-06-01
49748,42485,4,2024-07-15
51845,41524,3,2024-07-08
76433,22002,3,2024-07-18
64407,49660,5,2024-04-29
51675,96714,1,2024-09-02
28089,31337,3,2024-08-25
44212,9383,5,2024-03-29
78921,86487,3,2024-10-11
4257,78586,2,2024-08-14
63614,76566,2,2024-04-02
10771,35404,1,2024-03-04
23207,4260,5,2024-06-07
81934,56541,2,2024-08-24
84373,19800,3,2024-10-02
70128,19507,5,2024-09-17
81005,87446,2,2024-08-27
36548,28584,4,2024-09-19
54830,39955,4,2024-03-10
47869,70015,4,2024-01-17
38536,38746,5,2024-08-10
45435,35659,5,2024-07-07
6452,1852,5,2024-01-01
89859,89597,5,2024-09-03
95339,64156,2,2024-02-07
28057,81929,2,2024-09-02
11028,9463,1,2024-10-01
89635,7537,4,2024-08-04
73164,47563,5,2024-02-26
63614,93223,4,2024-07-01
85675,11425,2,2024-06-13
55992,79647,3,2024-02-25
66550,63459,2,2024-07-05
64019,56109,1,2024-09-14
11028,36936,4,2024-02-29
60593,84365,2,2024-08-10
47596,19695,4,2024-03-05
94673,52441,1,2024-03-15
18944,22300,4,2024-02-13
52981,31579,5,2024-08-21
88968,78406,5,2024-07-13
89143,62637,2,2024-07-15
37704,81532,4,2024-02-13
71698,98522,1,2024-04-17
59892,92403,2,2024-07-17
82431,36761,2,2024-01-23
80187,82259,4,2024-05-04
20773,16703,1,2024-02-29
46983,63602,2,2024-03-25
62787,81102,2,2024-06-17
61139,49928,3,2024-02-27
27348,15346,3,2024-05-01
99109,35553,5,2024-08-21
68311,76434,2,2024-02-15
4608,90274,5,2024-03-23
31565,74481,2,2024-03-16
51406,7450,5,2024-03-12
22937,27434,1,2024-01-22
86189,31579,1,2024-09-16
22345,57374,2,2024-09-05
53969,22002,3,2024-07-19
34577,55197,1,2024-08-21
94888,96767,4,2024-05-13
98864,76738,2,2024-05-19
40376,28913,2,2024-01-24
33163,32334,4,2024-10-17
76843,32368,5,2024-10-08
64901,63944,4,2024-07-02
65192,83215,4,2024-04-29
45890,92226,5,2024-07-24
28151,75985,1,2024-03-13
22937,36327,4,2024-05-29
41928,23093,2,2024-03-16
89143,75775,4,2024-09-18
59766,85693,3,2024-04-13
75297,32963,5,2024-07-28
54248,28913,1,2024-09-05
21111,71260,4,2024-06-03
91357,4052,1,2024-03-02
61670,88331,2,2024-07-11
31639,61277,2,2024-08-25
61139,80684,4,2024-01-07
91683,16635,3,2024-07-10
35555,36324,5,2024-05-01
92103,25393,5,2024-07-29
26869,22138,4,2024-07-03
21731,73289,5,2024-09-29
23966,63865,3,2024-04-12
62371,63100,2,2024-10-14
5474,38746,5,2024-03-17
91939,84052,5,2024-08-07
58257,57390,4,2024-03-21
91643,87394,2,2024-06-09
69243,25738,2,2024-07-14
43720,56541,2,2024-01-23
32733,30838,2,2024-01-01
29707,72312,5,2024-02-08
19977,41254,2,2024-02-07
250,87305,3,2024-02-04
49653,98239,4,2024-04-28
9935,9951,3,2024-01-07
17651,44677,4,2024-06-28
22606,8622,2,2024-09-29
82359,6620,4,2024-03-28
53344,48986,2,2024-08-20
3306,57658,3,2024-07-21
38414,83043,5,2024-01-27
32465,10387,1,2024-08-10
68557,6889,1,2024-09-28
79339,70015,4,2024-10-09
35495,53752,5,2024-01-02
75963,3813,4,2024-05-11
22553,75569,1,2024-03-25
11017,57091,3,2024-05-20
56681,97535,2,2024-06-14
72037,70709,2,2024-05-08
68570,98767,1,2024-07-23
12919,64156,3,2024-08-17
66248,36765,5,2024-06-27
31924,36936,4,2024-03-17
50186,49423,1,2024-05-10
250,9123,1,2024-05-09
96644,46067,1,2024-02-17
59041,60134,1,2024-06-20
81681,62196,1,2024-03-06
19656,48091,3,2024-02-01
46093,6844,4,2024-08-22
59045,56470,5,2024-05-19
4448,75775,3,2024-04-20
15683,93223,2,2024-10-07
57182,56541,4,2024-07-11
99025,5282,5,2024-08-12
11421,30539,4,2024-08-10
36548,76434,1,2024-04-24
27979,92016,3,2024-07-31
16356,30670,5,2024-02-13
43261,59982,5,2024-01-02
39319,62063,4,2024-08-28
99695,56109,1,2024-09-14
15386,16635,4,2024-04-19
2428,88272,3,2024-09-21
56295,8188,1,2024-10-13
73089,77935,2,2024-04-25
88968,87446,1,2024-08-03
39613,17724,2,2024-03-01
23962,62196,5,2024-01-25
38197,97405,1,2024-07-08
69468,32368,4,2024-03-31
36772,78767,2,2024-08-18
45171,17681,1,2024-08-06
91851,49402,1,2024-06-09
27391,83057,1,2024-08-19
28151,97162,5,2024-03-30
18573,86487,4,2024-09-08
48401,36535,1,2024-04-13
87736,6844,5,2024-03-04
45484,6620,4,2024-05-07
95315,48924,1,2024-08-23
49077,69952,5,2024-07-21
55250,11279,5,2024-04-01
37718,6844,2,2024-02-14
59728,23093,3,2024-06-06
61139,69507,5,2024-08-01
28804,78264,5,2024-07-24
54830,73523,1,2024-02-28
14121,9463,3,2024-02-26
80225,30539,1,2024-08-27
28057,86375,5,2024-09-21
61113,67227,1,2024-05-14
47994,39496,2,2024-06-12
22421,36936,3,2024-08-17
78522,31082,1,2024-08-08
19233,69507,2,2024-08-31
27810,46126,1,2024-05-27
91372,37536,2,2024-03-19
13687,143,4,2024-08-23
88749,86122,2,2024-02-21
53344,27434,2,2024-08-13
71539,6620,1,2024-04-16
22937,91790,2,2024-04-08
4513,60473,2,2024-04-30
85808,88194,5,2024-06-07
26856,73442,4,2024-05-24
17929,31672,1,2024-05-07
69243,27026,2,2024-07-13
36772,38191,5,2024-02-11
61670,33949,4,2024-08-24
73301,91790,2,2024-02-14
216,53842,5,2024-06-11
60593,64156,4,2024-05-06
69234,88564,2,2024-04-10
55210,60976,1,2024-03-22
85082,16514,3,2024-07-06
32135,22138,4,2024-04-12
16032,80684,1,2024-05-03
54475,10465,5,2024-01-16
55460,709,5,2024-08-08
45521,74408,3,2024-08-23
76499,88006,3,2024-09-03
12806,68183,3,2024-06-01
34895,25454,3,2024-07-17
95473,4130,5,2024-01-13
23697,52640,4,2024-07-07
11975,92403,5,2024-04-12
92309,87394,5,2024-03-29
71605,38301,1,2024-04-22
63052,78600,4,2024-09-23
96215,92403,5,2024-03-22
48401,16655,3,2024-08-15
1184,16533,4,2024-08-30
88968,40659,4,2024-04-26
45890,79374,3,2024-01-20
67828,93223,5,2024-01-31
26599,52640,1,2024-02-04
75517,19653,4,2024-06-23
74691,44752,2,2024-10-15
4289,10932,3,2024-10-04
51909,14971,4,2024-06-15
6927,31082,3,2024-02-02
48025,11011,1,2024-01-13
76843,59982,3,2024-10-14
68327,709,1,2024-05-20
66405,23193,2,2024-08-24
35555,86487,5,2024-03-16
18153,29884,5,2024-02-13
66616,69952,1,2024-05-08
75297,58149,4,2024-04-25
25789,88564,2,2024-03-30
96476,99385,2,2024-09-22
61670,64591,5,2024-04-14
18944,35659,2,2024-05-02
23937,84409,4,2024-06-29
63262,20529,2,2024-07-23
2488,83127,3,2024-08-30
18573,81929,2,2024-09-07
71698,64881,5,2024-02-15
74528,27194,5,2024-07-24
38920,9123,4,2024-06-19
77818,31509,5,2024-03-28
93633,14279,4,2024-06-25
58834,18249,2,2024-02-19
40297,47563,4,2024-02-07
65975,82422,2,2024-06-08
54475,41254,4,2024-01-19
18577,22138,1,2024-07-10
11698,21914,5,2024-08-01
57805,27711,3,2024-09-24
73811,46067,4,2024-02-11
71531,25982,1,2024-05-31
32794,62274,3,2024-04-29
66117,46654,3,2024-05-23
30798,70709,1,2024-05-28
19092,78548,5,2024-07-25
97736,21799,4,2024-03-23
41759,24055,2,2024-06-28
49653,70709,5,2024-06-29
19092,83215,2,2024-06-15
91640,39151,2,2024-08-15
53795,80684,2,2024-03-18
97363,74276,2,2024-03-02
81005,16648,2,2024-06-02
99109,58149,3,2024-10-14
93041,59485,5,2024-02-05
52489,71683,5,2024-04-18
48725,81929,4,2024-10-14
84388,7537,2,2024-04-24
2776,83043,4,2024-02-14
47802,73442,5,2024-04-05
68479,79374,1,2024-01-20
11362,44677,4,2024-02-19
85372,14279,3,2024-06-28
37338,95075,2,2024-10-01
62907,10248,3,2024-01-30
31639,69952,5,2024-01-22
26599,52441,1,2024-07-11
31924,88397,2,2024-03-15
73194,35117,3,2024-02-13
25391,61762,5,2024-03-01
42034,70015,3,2024-06-18
22421,97405,4,2024-06-21
21984,15856,2,2024-02-23
66796,63918,1,2024-02-04
11264,25002,2,2024-03-17
49748,96109,5,2024-06-14
30511,46654,5,2024-06-19
87343,90274,3,2024-08-07
73301,31579,1,2024-09-21
19445,23348,2,2024-05-14
250,42485,3,2024-05-22
61113,27711,5,2024-05-27
45587,48924,4,2024-01-28
71384,11279,3,2024-02-04
61624,5282,2,2024-01-17
81918,79037,2,2024-02-05
69832,97397,4,2024-09-04
56156,28552,1,2024-04-28
69102,76804,2,2024-07-26
26343,79037,3,2024-05-15
51360,8015,3,2024-01-22
28894,79647,3,2024-08-02
76906,74276,3,2024-04-07
90204,74980,1,2024-01-11
53428,16533,1,2024-08-08
70195,52640,3,2024-10-08
93185,12102,1,2024-09-14
85923,46126,1,2024-09-15
12654,83215,1,2024-03-25
16463,3343,2,2024-09-10
91640,23348,3,2024-01-13
4608,84409,4,2024-07-03
69909,10387,2,2024-07-27
43018,31337,2,2024-09-25
99025,48214,4,2024-06-24
32465,53537,2,2024-09-04
62977,63272,4,2024-10-17
72929,72643,1,2024-01-05
95023,33124,2,2024-02-17
19699,21710,2,2024-10-11
35867,29884,1,2024-08-06
61670,99385,4,2024-01-25
77818,76801,3,2024-05-03
81681,33124,1,2024-04-19
91278,25764,1,2024-06-21
61925,16979,3,2024-09-10
10967,71683,1,2024-09-12
93041,39924,5,2024-04-17
82399,27026,2,2024-09-24
21731,94900,5,2024-06-22
16404,91790,1,2024-08-10
27570,47563,1,2024-10-17
44962,71683,3,2024-06-10
45898,18248,3,2024-03-03
44978,92437,1,2024-08-23
64571,78586,3,2024-08-29
53344,87394,5,2024-05-31
93587,97397,4,2024-07-05
19977,96109,1,2024-01-10
91385,19598,5,2024-02-16
74590,42705,2,2024-08-22
51664,36605,1,2024-02-02
81894,49402,3,2024-08-24
23905,39731,5,2024-07-19
86837,84052,4,2024-03-03
98723,14870,4,2024-04-05
23962,19695,2,2024-05-11
18385,61229,2,2024-01-17
19964,46903,4,2024-01-13
1193,63822,2,2024-05-27
60895,68325,1,2024-01-28
34397,14705,5,2024-05-26
2587,43610,3,2024-03-11
33037,38229,3,2024-06-05
76433,94900,3,2024-06-24
30976,95974,3,2024-10-15
79352,16810,3,2024-03-23
59562,40739,2,2024-05-23
89900,50611,3,2024-02-09
54248,70370,2,2024-07-13
68805,88331,1,2024-05-06
67944,62063,3,2024-03-26
96476,48986,1,2024-08-23
1776,63822,5,2024-06-02
35867,94900,3,2024-02-12
70858,74276,1,2024-04-26
89755,76804,3,2024-09-08
63781,41117,2,2024-03-05
88968,97585,1,2024-02-27
40182,8186,4,2024-02-01
83465,21130,2,2024-09-27
42034,22002,2,2024-09-09
76843,27434,4,2024-03-12
89542,76804,3,2024-06-30
34291,73879,2,2024-02-29
90,16533,1,2024-06-11
22553,6791,1,2024-04-18
64901,7616,3,2024-03-21
53979,63922,4,2024-05-29
88749,89808,1,2024-09-28
91451,52304,1,2024-03-26
39132,85451,5,2024-08-31
85082,17175,4,2024-01-17
77882,33146,1,2024-04-10
36537,85693,5,2024-02-15
79735,93368,1,2024-07-25
41759,92075,3,2024-10-17
37087,46010,4,2024-07-30
78857,79037,1,2024-05-29
23841,709,3,2024-08-29
21051,58354,2,2024-08-30
65480,83307,1,2024-08-21
17726,89029,2,2024-02-13
65142,97535,2,2024-05-31
32733,56197,2,2024-03-04
80262,92226,5,2024-08-23
78857,63865,5,2024-06-14
81399,24186,1,2024-07-07
11358,85526,5,2024-06-28
85808,62637,5,2024-06-09
94888,72224,3,2024-07-28
4351,88768,4,2024-02-04
48025,47563,3,2024-01-01
81399,53752,2,2024-09-26
10140,27194,2,2024-10-16
31625,10855,1,2024-10-17
40167,35971,2,2024-09-09
86804,8186,3,2024-02-12
56675,86218,1,2024-05-27
20773,22840,5,2024-07-03
78826,24186,2,2024-07-16
1776,86768,5,2024-01-11
84729,97585,5,2024-09-19
73734,78586,2,2024-01-29
52489,69180,5,2024-02-29
74907,26169,1,2024-06-24
66943,55974,5,2024-01-27
16404,63619,2,2024-05-14
67268,64828,4,2024-01-23
65192,97258,1,2024-08-27
5892,37406,5,2024-01-25
87956,49663,5,2024-06-09
70543,48924,2,2024-09-26
82359,27711,3,2024-05-28
216,73879,5,2024-04-14
48401,30838,3,2024-02-26
39138,36765,2,2024-01-10
31154,29135,3,2024-09-11
44962,71683,2,2024-01-05
37338,20174,1,2024-05-18
96476,89031,1,2024-09-19
29707,69846,2,2024-06-21
37087,81102,5,2024-06-15
2488,16655,3,2024-01-05
23962,99385,2,2024-01-28
68487,94900,2,2024-10-02
45171,65060,4,2024-01-11
2369,62196,5,2024-07-10
17651,63096,5,2024-05-18
74643,13613,5,2024-02-18
83221,85693,3,2024-07-05
10140,77935,2,2024-08-24
10806,75959,3,2024-10-14
62846,58406,5,2024-08-19
7910,12015,2,2024-07-12
3869,57204,5,2024-08-10
80927,40739,3,2024-09-13
10093,6844,2,2024-07-15
21387,86768,3,2024-02-14
56198,33124,3,2024-08-04
82359,19771,3,2024-10-16
27686,7569,5,2024-07-16
14121,36329,3,2024-05-05
95315,31509,5,2024-01-01
64966,36761,5,2024-09-15
6158,14870,2,2024-08-29
